Stop	StopName	Kommunenavn	Dat	Lon	Lat	PublicLineNo	Reisende
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-24	10.412142	59.27018	02	812
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-01	10.412142	59.27018	02	733
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-17	10.412142	59.27018	02	689
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-10	10.412142	59.27018	02	654
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-21	10.412142	59.27018	02	654
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-29	10.412142	59.27018	02	653
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-07	10.412142	59.27018	02	652
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-09	10.412142	59.27018	02	651
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-22	10.412142	59.27018	02	649
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-08	10.412142	59.27018	02	642
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-24	10.412491	59.26981	02	642
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-23	10.412142	59.27018	02	641
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-15	10.412142	59.27018	02	637
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-02	10.412142	59.27018	02	632
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-13	10.412142	59.27018	02	627
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-20	10.412142	59.27018	02	615
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-28	10.412142	59.27018	02	608
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-27	10.412142	59.27018	02	603
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-16	10.412142	59.27018	02	594
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-14	10.412142	59.27018	02	589
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-30	10.412142	59.27018	02	581
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-03	10.412142	59.27018	02	581
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-06	10.412142	59.27018	02	576
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-30	10.412491	59.26981	02	561
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-13	10.412491	59.26981	02	541
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-23	10.412491	59.26981	02	518
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-28	10.412491	59.26981	02	509
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-15	10.412491	59.26981	02	506
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-10	10.412491	59.26981	02	504
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-24	10.411902	59.269714	116A	500
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-01	10.412491	59.26981	02	496
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-08	10.412491	59.26981	02	496
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-29	10.412491	59.26981	02	494
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-03	10.412491	59.26981	02	493
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-07	10.412491	59.26981	02	493
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-17	10.412491	59.26981	02	492
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-22	10.412491	59.26981	02	490
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-27	10.412491	59.26981	02	486
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-02	10.412491	59.26981	02	479
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-21	10.412491	59.26981	02	479
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-20	10.412491	59.26981	02	478
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-06	10.412491	59.26981	02	463
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-14	10.412491	59.26981	02	448
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-18	10.412142	59.27018	02	446
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-06	10.412318	59.26951	01	442
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-16	10.412491	59.26981	02	442
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-01	10.411902	59.269714	116A	439
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-30	10.412142	59.27018	113B	439
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-09	10.412491	59.26981	02	434
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-24	10.411902	59.269714	116B	432
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-09	10.412142	59.27018	113B	430
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-30	10.411902	59.269714	116B	418
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-22	10.412318	59.26951	01	417
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-21	10.412318	59.26951	01	416
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-22	10.411902	59.269714	116A	416
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-01	10.41214	59.269597	130	414
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-17	10.412318	59.26951	01	410
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-24	10.412491	59.26981	113B	410
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-28	10.412142	59.27018	113B	409
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-25	10.412142	59.27018	02	408
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-14	10.41214	59.269597	130	408
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-28	10.412318	59.26951	01	404
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-11	10.412142	59.27018	02	398
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-22	10.412142	59.27018	113A	398
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-16	10.41214	59.269597	130	397
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-20	10.41214	59.269597	130	397
107547	Tønsberg rutebilstasjon 9	Tønsberg	2023-11-07	10.41208	59.269626	116A	395
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-29	10.41214	59.269597	130	394
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-16	10.411902	59.269714	116A	394
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-24	10.412142	59.27018	113B	394
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-20	10.411902	59.269714	116A	393
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-17	10.411902	59.269714	116A	393
33977	Borgheim	Færder	2023-11-13	10.407674	59.225875	02	393
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-24	10.412318	59.26951	01	392
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-14	10.412142	59.27018	113B	392
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-24	10.41214	59.269597	130	391
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-20	10.412142	59.27018	113A	388
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-22	10.411902	59.269714	116B	387
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-20	10.412491	59.26981	113B	386
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-17	10.412491	59.26981	113B	386
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-08	10.41214	59.269597	130	386
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-28	10.41214	59.269597	130	385
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-29	10.412318	59.26951	01	385
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-21	10.41214	59.269597	130	383
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-30	10.412318	59.26951	01	382
33977	Borgheim	Færder	2023-11-06	10.407674	59.225875	02	381
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-21	10.412142	59.27018	113B	380
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-02	10.41214	59.269597	130	380
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-01	10.412142	59.27018	113A	380
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-10	10.411902	59.269714	116A	379
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-27	10.412318	59.26951	01	378
107544	Tønsberg rutebilstasjon 6	Tønsberg	2023-11-06	10.411902	59.269714	116A	377
33977	Borgheim	Færder	2023-11-24	10.407674	59.225875	02	376
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-20	10.412142	59.27018	113B	376
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-22	10.41214	59.269597	130	376
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-09	10.412318	59.26951	01	375
33977	Borgheim	Færder	2023-11-21	10.407674	59.225875	02	375
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-13	10.41214	59.269597	130	375
107554	Tønsberg rutebilstasjon 17	Tønsberg	2023-11-09	10.412142	59.27018	113A	374
107551	Tønsberg rutebilstasjon 13	Tønsberg	2023-11-01	10.412318	59.26951	01	373
107548	Tønsberg rutebilstasjon 10	Tønsberg	2023-11-09	10.41214	59.269597	130	370
107538	Tønsberg rutebilstasjon 16	Tønsberg	2023-11-02	10.412491	59.26981	113B	369
