Stop	StopName	Kommunenavn	Dat	Lon	Lat	PublicLineNo	Reisende
Totals	Totals	Totals	Totals	Totals	Totals	Totals	383 462
32801	Humleveien	Tønsberg	2023-10-01	10.360303	59.272423	130	1
33073	Ilebrekke	Tønsberg	2023-10-08	10.47294	59.292929	01	1
30834	Gudruns vei	Tønsberg	2023-10-13	10.45752	59.277507	01	1
32090	Kirkevoll syd	Tønsberg	2023-10-31	10.261976	59.341249	121	1
30593	Gressbanen	Tønsberg	2023-10-31	10.414224	59.282168	113	1
33865	Bliksekilen	Tønsberg	2023-10-29	10.496978	59.319617	01	1
30593	Gressbanen	Tønsberg	2023-10-29	10.414224	59.282168	113B	1
33064	Teie torv	Færder	2023-10-25	10.418393	59.251388	112	1
33866	Bliksekilen	Tønsberg	2023-10-01	10.497396	59.320407	01	1
32090	Kirkevoll syd	Tønsberg	2023-10-26	10.261976	59.341249	121	1
32090	Kirkevoll syd	Tønsberg	2023-10-24	10.261976	59.341249	121	1
33146	Jarlsberg travbane	Tønsberg	2023-10-15	10.36761	59.281715	130	1
31072	Sem kirke	Tønsberg	2023-10-27	10.385237	59.291971	120	1
30834	Gudruns vei	Tønsberg	2023-10-13	10.45752	59.277507	118	1
32090	Kirkevoll syd	Tønsberg	2023-10-23	10.261976	59.341249	121	1
32807	Sundene syd	Færder	2023-10-29	10.395282	59.166298	02	1
32089	Kirkevoll syd	Tønsberg	2023-10-27	10.261898	59.341486	121	1
30834	Gudruns vei	Tønsberg	2023-10-14	10.45752	59.277507	118	1
31375	Skjeggestadåsen	Tønsberg	2023-10-25	10.289882	59.354161	121	1
31072	Sem kirke	Tønsberg	2023-10-21	10.385237	59.291971	120	1
31375	Skjeggestadåsen	Tønsberg	2023-10-26	10.289882	59.354161	121	1
32081	Kirkevoll	Tønsberg	2023-10-25	10.278287	59.417673	121	1
31375	Skjeggestadåsen	Tønsberg	2023-10-27	10.289882	59.354161	121	1
30834	Gudruns vei	Tønsberg	2023-10-15	10.45752	59.277507	01	1
32081	Kirkevoll	Tønsberg	2023-10-23	10.278287	59.417673	121	1
32800	Sundene	Færder	2023-10-01	10.392342	59.16621	02	1
32081	Kirkevoll	Tønsberg	2023-10-18	10.278287	59.417673	121	1
30834	Gudruns vei	Tønsberg	2023-10-25	10.45752	59.277507	118	1
32809	Sundene syd Østveien	Færder	2023-10-01	10.397948	59.165928	02	1
33352	Dreggveien	Færder	2023-10-30	10.447421	59.208934	113B	1
31377	Vestliveien	Færder	2023-10-22	10.389493	59.25708	116A	1
33866	Bliksekilen	Tønsberg	2023-10-28	10.497396	59.320407	01	1
33866	Bliksekilen	Tønsberg	2023-10-29	10.497396	59.320407	01	1
33146	Jarlsberg travbane	Tønsberg	2023-10-13	10.36761	59.281715	124	1
32797	Humleveien	Tønsberg	2023-10-15	10.360966	59.272109	130	1
33352	Dreggveien	Færder	2023-10-27	10.447421	59.208934	113B	1
32797	Humleveien	Tønsberg	2023-10-01	10.360966	59.272109	130	1
33869	Engås	Færder	2023-10-04	10.408991	59.199278	02	1
33146	Jarlsberg travbane	Tønsberg	2023-10-13	10.36761	59.281715	121	1
32793	Hulebak	Færder	2023-10-30	10.412019	59.123995	02	1
33869	Engås	Færder	2023-10-08	10.408991	59.199278	02	1
33869	Engås	Færder	2023-10-09	10.408991	59.199278	02	1
33352	Dreggveien	Færder	2023-10-24	10.447421	59.208934	113B	1
32068	Gullvingeveien	Tønsberg	2023-10-25	10.360765	59.266476	130	1
33352	Dreggveien	Færder	2023-10-21	10.447421	59.208934	113B	1
32766	Støyten	Færder	2023-10-13	10.389014	59.212625	02	1
33869	Engås	Færder	2023-10-15	10.408991	59.199278	02	1
30833	Gudruns vei	Tønsberg	2023-10-16	10.457563	59.277608	118	1
30833	Gudruns vei	Tønsberg	2023-10-15	10.457563	59.277608	01	1
32766	Støyten	Færder	2023-10-10	10.389014	59.212625	02	1
33352	Dreggveien	Færder	2023-10-16	10.447421	59.208934	113B	1
30833	Gudruns vei	Tønsberg	2023-10-13	10.457563	59.277608	118	1
33352	Dreggveien	Færder	2023-10-13	10.447421	59.208934	113B	1
33869	Engås	Færder	2023-10-27	10.408991	59.199278	02	1
33352	Dreggveien	Færder	2023-10-09	10.447421	59.208934	113B	1
33869	Engås	Færder	2023-10-30	10.408991	59.199278	02	1
30833	Gudruns vei	Tønsberg	2023-10-11	10.457563	59.277608	118	1
33146	Jarlsberg travbane	Tønsberg	2023-10-10	10.36761	59.281715	130	1
32068	Gullvingeveien	Tønsberg	2023-10-10	10.360765	59.266476	130	1
31072	Sem kirke	Tønsberg	2023-10-16	10.385237	59.291971	120	1
33352	Dreggveien	Færder	2023-10-07	10.447421	59.208934	113B	1
32068	Gullvingeveien	Tønsberg	2023-10-05	10.360765	59.266476	130	1
32068	Gullvingeveien	Tønsberg	2023-10-03	10.360765	59.266476	130	1
32579	Nesveien	Færder	2023-10-06	10.441672	59.216588	112	1
31238	Skallevold	Tønsberg	2023-10-08	10.500478	59.2932	116B	1
31377	Vestliveien	Færder	2023-10-22	10.389493	59.25708	116B	1
