LineNumber	Year	Month	Totals	Late	ONTIME
70001	2022	1	4 870	1 885	2 985
70001	2022	2	4 817	1 984	2 833
70001	2022	3	5 783	2 592	3 191
70001	2022	4	4 773	2 139	2 634
70001	2022	5	5 260	2 800	2 460
70001	2022	6	5 002	2 494	2 508
70001	2022	7	4 297	1 864	2 433
70001	2022	8	5 154	2 837	2 317
70001	2022	9	5 757	3 254	2 503
70001	2022	10	5 462	2 876	2 586
70001	2022	11	5 203	2 924	2 279
70001	2022	12	5 352	3 033	2 319
70002	2022	1	8 156	1 480	6 676
70002	2022	2	7 615	1 494	6 121
70002	2022	3	9 202	2 038	7 164
70002	2022	4	7 921	1 744	6 177
70002	2022	5	8 436	2 057	6 379
70002	2022	6	7 878	2 118	5 760
70002	2022	7	7 050	1 611	5 439
70002	2022	8	8 096	2 293	5 803
70002	2022	9	8 899	2 428	6 471
70002	2022	10	8 626	2 248	6 378
70002	2022	11	8 012	2 089	5 923
70002	2022	12	8 423	2 532	5 891
70011	2022	1	139	17	122
70011	2022	2	136	22	114
70011	2022	3	160	31	129
70011	2022	4	148	34	114
70011	2022	5	139	45	94
70011	2022	6	153	35	118
70011	2022	7	96	10	86
70011	2022	8	161	39	122
70011	2022	9	222	92	130
70011	2022	10	176	47	129
70011	2022	11	156	37	119
70011	2022	12	136	34	102
70100	2022	1	346	88	258
70100	2022	2	362	92	270
70100	2022	3	465	137	328
70100	2022	4	384	121	263
70100	2022	5	420	120	300
70100	2022	6	437	124	313
70100	2022	7	477	120	357
70100	2022	8	513	144	369
70100	2022	9	501	144	357
70100	2022	10	498	150	348
70100	2022	11	494	139	355
70100	2022	12	494	198	296
70108	2022	1	4 523	867	3 656
70108	2022	2	4 253	848	3 405
70108	2022	3	5 169	1 109	4 060
70108	2022	4	4 495	946	3 549
70108	2022	5	4 800	1 042	3 758
70108	2022	6	4 697	1 094	3 603
70108	2022	7	4 122	680	3 442
70108	2022	8	4 803	959	3 844
70108	2022	9	5 405	1 168	4 237
70108	2022	10	5 190	1 140	4 050
70108	2022	11	4 566	1 048	3 518
70108	2022	12	4 654	1 257	3 397
70109	2022	1	7 114	678	6 436
70109	2022	2	6 690	878	5 812
70109	2022	3	8 014	1 263	6 751
70109	2022	4	6 984	1 093	5 891
70109	2022	5	7 253	1 325	5 928
70109	2022	6	7 162	1 057	6 105
70109	2022	7	6 313	610	5 703
70109	2022	8	7 350	958	6 392
70109	2022	9	8 209	1 319	6 890
70109	2022	10	7 979	1 094	6 885
70109	2022	11	7 166	1 107	6 059
70109	2022	12	7 878	1 209	6 669
70110	2022	1	202	42	160
70110	2022	2	227	40	187
70110	2022	3	551	153	398
70110	2022	4	522	168	354
70110	2022	5	534	153	381
70110	2022	6	554	160	394
70110	2022	7	702	146	556
70110	2022	8	698	175	523
70110	2022	9	648	200	448
70110	2022	10	665	201	464
70110	2022	11	686	189	497
70110	2022	12	696	225	471
70111	2022	1	1 456	216	1 240
70111	2022	2	1 370	200	1 170
70111	2022	3	1 667	277	1 390
70111	2022	4	1 401	196	1 205
70111	2022	5	1 536	274	1 262
70111	2022	6	1 676	311	1 365
70111	2022	7	1 620	317	1 303
70111	2022	8	1 750	294	1 456
70111	2022	9	1 840	372	1 468
70111	2022	10	1 822	311	1 511
70111	2022	11	1 745	294	1 451
70111	2022	12	1 748	336	1 412
70112	2022	1	196	63	133
70112	2022	2	183	77	106
70112	2022	3	203	108	95
70112	2022	4	161	88	73
70112	2022	5	166	89	77
70112	2022	6	107	43	64
70112	2022	8	83	34	49
70112	2022	9	202	111	91
70112	2022	10	166	86	80
70112	2022	11	175	92	83
70112	2022	12	164	64	100
70113	2022	1	7 078	989	6 089
70113	2022	2	6 752	1 124	5 628
70113	2022	3	7 957	1 738	6 219
70113	2022	4	7 016	1 368	5 648
70113	2022	5	7 450	1 556	5 894
70113	2022	6	7 189	1 458	5 731
70113	2022	7	6 342	821	5 521
70113	2022	8	7 377	1 162	6 215
70113	2022	9	8 295	1 646	6 649
70113	2022	10	8 077	1 474	6 603
70113	2022	11	7 197	1 527	5 670
70113	2022	12	8 021	1 706	6 315
70114	2022	1	114	15	99
70114	2022	2	139	18	121
70114	2022	3	179	25	154
70114	2022	4	151	20	131
70114	2022	5	167	27	140
70114	2022	6	158	26	132
70114	2022	7	198	23	175
70114	2022	8	200	32	168
70114	2022	9	169	25	144
70114	2022	10	205	23	182
70114	2022	11	206	24	182
70114	2022	12	197	32	165
70115	2022	1	1 429	218	1 211
70115	2022	2	1 405	214	1 191
70115	2022	3	1 659	270	1 389
70115	2022	4	1 489	255	1 234
70115	2022	5	1 534	287	1 247
70115	2022	6	1 564	398	1 166
70115	2022	7	1 546	300	1 246
70115	2022	8	1 612	282	1 330
70115	2022	9	1 668	322	1 346
70115	2022	10	1 653	283	1 370
70115	2022	11	1 637	286	1 351
70115	2022	12	1 633	374	1 259
70116	2022	1	6 749	1 488	5 261
70116	2022	2	6 333	1 463	4 870
70116	2022	3	7 685	1 887	5 798
70116	2022	4	6 510	1 531	4 979
70116	2022	5	6 907	1 649	5 258
70116	2022	6	6 781	1 768	5 013
70116	2022	7	5 812	1 036	4 776
70116	2022	8	6 838	1 578	5 260
70116	2022	9	7 781	2 043	5 738
70116	2022	10	7 325	1 833	5 492
70116	2022	11	6 349	1 841	4 508
70116	2022	12	6 454	2 083	4 371
70117	2022	1	125	28	97
70117	2022	2	101	29	72
70117	2022	3	165	51	114
70117	2022	4	129	51	78
70117	2022	5	126	35	91
70117	2022	6	120	39	81
70117	2022	7	98	20	78
70117	2022	8	98	35	63
70117	2022	9	139	61	78
70117	2022	10	128	51	77
70117	2022	11	118	41	77
70117	2022	12	92	21	71
70118	2022	1	123	13	110
70118	2022	2	137	18	119
70118	2022	3	374	117	257
70118	2022	4	345	100	245
70118	2022	5	362	119	243
70118	2022	6	365	124	241
70118	2022	7	466	103	363
70118	2022	8	479	134	345
70118	2022	9	466	132	334
70118	2022	10	473	130	343
70118	2022	11	460	110	350
70118	2022	12	447	117	330
70120	2022	1	360	90	270
70120	2022	2	371	118	253
70120	2022	3	436	140	296
70120	2022	4	342	108	234
70120	2022	5	385	152	233
70120	2022	6	307	133	174
70120	2022	7	217	111	106
70120	2022	8	275	135	140
70120	2022	9	378	168	210
70120	2022	10	379	134	245
70120	2022	11	390	157	233
70120	2022	12	359	157	202
70121	2022	1	156	37	119
70121	2022	2	141	33	108
70121	2022	3	184	42	142
70121	2022	4	142	34	108
70121	2022	5	145	41	104
70121	2022	6	105	40	65
70121	2022	7	51	22	29
70121	2022	8	94	50	44
70121	2022	9	153	90	63
70121	2022	10	142	50	92
70121	2022	11	131	45	86
70121	2022	12	118	47	71
70124	2022	1	781	172	609
70124	2022	2	697	171	526
70124	2022	3	897	199	698
70124	2022	4	692	155	537
70124	2022	5	782	199	583
70124	2022	6	681	209	472
70124	2022	7	524	137	387
70124	2022	8	645	250	395
70124	2022	9	788	283	505
70124	2022	10	779	252	527
70124	2022	11	784	242	542
70124	2022	12	766	269	497
70130	2022	1	1 416	215	1 201
70130	2022	2	1 288	232	1 056
70130	2022	3	1 559	300	1 259
70130	2022	4	1 297	247	1 050
70130	2022	5	1 399	292	1 107
70130	2022	6	1 388	258	1 130
70130	2022	7	1 261	182	1 079
70130	2022	8	1 494	278	1 216
70130	2022	9	1 745	405	1 340
70130	2022	10	1 671	383	1 288
70130	2022	11	1 659	346	1 313
70130	2022	12	1 643	423	1 220
