År;Avlessing;Pålessing
2003;614;658
2004;629;728
2005;689;751
2006;572;635
2007;626;870
2008;710;666
2009;622;645
2010;804;886
2011;724;656
2012;578;569
2013;642;641
2014;665;638
2015;738;749
2016;723;826
2017;834;912
2018;938;1161
2019;1003;843
2020;;
2021;;
