SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;3,5;1,0;1 200;;;;;;;;;;;1;4490;8978
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;3,5;1,0;1 324;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;4,1;1,0;1 276;;;;;;;;;;;1;4490;8978
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;3,4;1,0;1 231;;;;;;;;;;;1;4490;8978
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;3,5;1,0;1 357;;;;;;;;;;;1;4490;8978
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;3,8;1,0;1 220;;;;;;;;;;;1;4490;8978
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;3,5;1,0;1 443;;;;;;;;;;;1;4490;8978
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;3,9;1,0;1 344;;;;;;;;;;;1;4490;8978
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;3,4;1,0;1 086;;;;;;;;;;;1;4490;8978
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;3,8;1,0;1 106;;;;;;;;;;;1;4490;8978
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;4,0;1,0;724;;;;;;;;;;;1;4490;8978
1;EUIndeks_1389;Utdanning og yrkesveiledning (videregående);EUIndeks_1389;Utdanning og yrkesveiledning (videregående);2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;3,4;1,3;1 340;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;4,0;0,9;1 213;;;;;;;;;;;1;4490;8978
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;3,4;1,1;1 260;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;4,1;0,9;1 329;;;;;;;;;;;1;4490;8978
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;3,5;1,1;1 379;;;;;;;;;;;1;4490;8978
1;EUIndeks_1389;Utdanning og yrkesveiledning (videregående);EUIndeks_1389;Utdanning og yrkesveiledning (videregående);2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;3,6;1,3;1 406;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;4,1;0,9;1 395;;;;;;;;;;;1;4490;8978
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;3,4;1,1;1 296;;;;;;;;;;;1;4490;8978
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;3,2;1,1;1 191;;;;;;;;;;;1;4490;8978
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;3,4;1,1;1 244;;;;;;;;;;;1;4490;8978
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;3,3;1,1;1 306;;;;;;;;;;;1;4490;8978
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;3,9;1,1;1 426;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;4,0;0,9;1 102;;;;;;;;;;;1;4490;8978
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;3,5;1,1;709;;;;;;;;;;;1;4490;8978
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;4,2;0,9;719;;;;;;;;;;;1;4490;8978
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;3,3;1,1;1 112;;;;;;;;;;;1;4490;8978
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2023-24;2;I;Hele landet;39;Vestfold;39;Vestfold;0;Alle;Alle grupper;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;3,5;1,1;1 369;;;;;;;;;;;1;4490;8978
