SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G203864;1MDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;16;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G204047;1SSA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,8;0,7;11;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G206102;2stg;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;21;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G204208;1KDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;28;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G205288;1BAC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;15;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575116;Sande videregående skole;1;G205910;1HOS;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,9;0,7;17;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G209677;1TID;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;14;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;973488783;Skagerak International School;1;G239717;Y11;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;42;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G202822;3STE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;0;A;Alle kjønn;0;-10;Alle eierformer;4,0;0,7;29;;;;;;;;;;;1;8562;8561
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G202822;3STE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;3;Videregående trinn 3;0;A;Alle kjønn;0;-10;Alle eierformer;3,9;0,7;24;;;;;;;;;;;1;8562;8561
