SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G203864;1MDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;16;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G204047;1SSA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,8;0,7;11;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G204208;1KDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,7;28;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G205288;1BAC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;15;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575116;Sande videregående skole;1;G205910;1HOS;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,9;0,7;17;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G209677;1TID;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,7;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;973488783;Skagerak International School;1;G239717;Y11;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,7;42;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G202881;1IDB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,8;0,9;28;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;874575062;Holmestrand videregående skole;1;G202955;1HOA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,0;0,9;13;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G203569;1FBA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,7;0,9;9;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G203731;1HSC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,9;11;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575051;Melsom videregående skole;1;G205403;1MKA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,0;0,9;11;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G202842;1BAD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,8;12;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575116;Sande videregående skole;1;G202898;1IDA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;3,6;0,8;21;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575051;Melsom videregående skole;1;G202945;1STA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,8;15;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G202948;1STH;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,8;20;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;973141805;Slottsfjellet videregående;1;G203151;Vg1;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,8;19;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G203308;1TIC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,8;12;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G203308;1TIC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,2;0,8;15;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G203358;1HSD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,8;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G203506;1RMA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,8;10;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;923261354;Horten videregående skole;1;G211894;1EDB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,8;16;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;990745277;Gjennestad videregående skole;1;G223972;1N;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,8;11;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;874575232;Re videregående skole;1;G204173;1HOB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,8;16;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G204677;1IKB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,1;0,8;16;;;;;;;;;;;1;5544;11086
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2023-24;3;I;Hele landet;39;Vestfold;974574993;Greveskogen videregående skole;1;G205877;1RMC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,8;12;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;874575062;Holmestrand videregående skole;1;G245395;1TEK;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,5;9;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;923261354;Horten videregående skole;1;G202882;1HOD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,5;0,5;11;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;923261354;Horten videregående skole;1;G202900;1HOE;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,5;15;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G202998;1ELD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,6;0,5;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G203017;1ELC;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,6;0,5;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G203026;1ELB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,3;0,5;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G203026;1ELB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,5;12;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575027;Thor Heyerdahl videregående skole;1;G203184;1TIB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,5;0,5;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575086;Færder videregående skole;1;G203184;1TIB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,5;13;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;923261354;Horten videregående skole;1;G203244;1STB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,7;0,5;26;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;974575019;Sandefjord videregående skole;1;G203680;1STD;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,4;0,5;14;;;;;;;;;;;1;5544;11086
1;EUIndeks_1379;Trivsel;EUIndeks_1379;Trivsel;2023-24;3;I;Hele landet;39;Vestfold;923261354;Horten videregående skole;1;G211894;1EDB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;4,6;0,5;16;;;;;;;;;;;1;5544;11086
