Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Ferskvann,0.020729288132135353
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Fulldyrka jord,0.9063602553892853
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Hav,3.77528409199536
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Samferdsel,70.9984916258429
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Skog,28.29047610802697
Færder,06 Næringsvirksomhet,Planlagt og i bruk,Åpen fastmark,11.04340575158988
Færder,07 Råstoffutvinning,Antatt planreserve,Skog,82.70332576032689
Færder,07 Råstoffutvinning,Antatt planreserve,Åpen fastmark,5.451137258463775
Færder,07 Råstoffutvinning,Planlagt og i bruk,Bebygd,60.2612689248917
Færder,07 Råstoffutvinning,Planlagt og i bruk,Ferskvann,15.678428010418122
Færder,07 Råstoffutvinning,Planlagt og i bruk,Samferdsel,5.9398118375961975
Færder,07 Råstoffutvinning,Planlagt og i bruk,Skog,1.8492044655078597
Færder,07 Råstoffutvinning,Planlagt og i bruk,Åpen fastmark,0.9140937619500505
Færder,08 Kombinerte formål,Antatt planreserve,Ferskvann,0.5264128437212376
Færder,08 Kombinerte formål,Antatt planreserve,Fulldyrka jord,107.81251065775908
Færder,08 Kombinerte formål,Antatt planreserve,Skog,111.64724701671209
Færder,08 Kombinerte formål,Antatt planreserve,Åpen fastmark,17.510583291561183
Færder,08 Kombinerte formål,Planlagt og i bruk,Bebygd,338.0837753492694
Færder,08 Kombinerte formål,Planlagt og i bruk,Ferskvann,0.24763308751783497
Færder,08 Kombinerte formål,Planlagt og i bruk,Fulldyrka jord,10.208213768390692
Færder,08 Kombinerte formål,Planlagt og i bruk,Hav,0.09170661180595174
Færder,08 Kombinerte formål,Planlagt og i bruk,Samferdsel,55.202676255125596
Færder,08 Kombinerte formål,Planlagt og i bruk,Skog,45.24070063416161
Færder,08 Kombinerte formål,Planlagt og i bruk,Åpen fastmark,29.160166625145052
Færder,09 Idrettsanlegg,Antatt planreserve,Ferskvann,0.2989714475431713
Færder,09 Idrettsanlegg,Antatt planreserve,Fulldyrka jord,1.2629082602095614
Færder,09 Idrettsanlegg,Antatt planreserve,Skog,257.6480449801023
Færder,09 Idrettsanlegg,Antatt planreserve,Åpen fastmark,11.18274369203247
Færder,09 Idrettsanlegg,Planlagt og i bruk,Bebygd,67.574783249712
Færder,09 Idrettsanlegg,Planlagt og i bruk,Ferskvann,47.33725644653212
Færder,09 Idrettsanlegg,Planlagt og i bruk,Fulldyrka jord,3.105798263072429
Færder,09 Idrettsanlegg,Planlagt og i bruk,Innmarksbeite,0.0175715273381144
Færder,09 Idrettsanlegg,Planlagt og i bruk,Myr,0.1543249728696683
Færder,09 Idrettsanlegg,Planlagt og i bruk,Samferdsel,39.02285044999515
Færder,09 Idrettsanlegg,Planlagt og i bruk,Skog,127.61894159843736
Færder,09 Idrettsanlegg,Planlagt og i bruk,Åpen fastmark,757.0439725492935
Færder,10 Andre formål,Planlagt og i bruk,Bebygd,199.63814629545612
Færder,10 Andre formål,Planlagt og i bruk,Ferskvann,0.24718209997747734
Færder,10 Andre formål,Planlagt og i bruk,Fulldyrka jord,7.952593404186298
Færder,10 Andre formål,Planlagt og i bruk,Hav,1.5877115834570694
Færder,10 Andre formål,Planlagt og i bruk,Innmarksbeite,0.6152589679896568
Færder,10 Andre formål,Planlagt og i bruk,Myr,12.612223971998853
Færder,10 Andre formål,Planlagt og i bruk,Overflatedyrka jord,0.018064650330404792
Færder,10 Andre formål,Planlagt og i bruk,Samferdsel,23.08487749092605
Færder,10 Andre formål,Planlagt og i bruk,Skog,77.478866789723
Færder,10 Andre formål,Planlagt og i bruk,Åpen fastmark,28.634302017533848
Færder,11 Samferdselsanlegg,Antatt planreserve,Fulldyrka jord,27.96322745777062
Færder,11 Samferdselsanlegg,Antatt planreserve,Innmarksbeite,0.5915947895358178
Færder,11 Samferdselsanlegg,Antatt planreserve,Skog,64.90464338184867
Færder,11 Samferdselsanlegg,Antatt planreserve,Åpen fastmark,19.31869348992856
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Bebygd,367.1246410590563
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Ferskvann,0.6281432275568684
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Fulldyrka jord,65.17137109098071
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Hav,1.0740855328448333
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Innmarksbeite,1.1912759388579417
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Overflatedyrka jord,0.06392831136878746
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Samferdsel,1765.7329287345347
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Skog,101.3838647118571
Færder,11 Samferdselsanlegg,Planlagt og i bruk,Åpen fastmark,78.47324776560968
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Bebygd,397.75488168420907
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Ferskvann,14.207819375206935
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Fulldyrka jord,68.55836447098878
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Hav,35.02434463310619
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Innmarksbeite,19.295618646874566
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Myr,15.662419984094674
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Overflatedyrka jord,2.5078622115814126
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Samferdsel,147.00634670840563
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Skog,3679.720933057949
Færder,12 Blå/grønnstruktur,Planlagt og i bruk,Åpen fastmark,1053.094143484142
Færder,13 Forsvaret,Planlagt og i bruk,Bebygd,43.45955134734284
Færder,13 Forsvaret,Planlagt og i bruk,Ferskvann,0.10633149999945507
Færder,13 Forsvaret,Planlagt og i bruk,Hav,2.6542305898050302
Færder,13 Forsvaret,Planlagt og i bruk,Samferdsel,26.87872899421095
Færder,13 Forsvaret,Planlagt og i bruk,Skog,491.8601233523655
Færder,13 Forsvaret,Planlagt og i bruk,Åpen fastmark,62.10418646774039
Færder,14 LNFR,Planlagt og i bruk,Bebygd,3517.781992640063
Færder,14 LNFR,Planlagt og i bruk,Ferskvann,30.783367968757116
Færder,14 LNFR,Planlagt og i bruk,Fulldyrka jord,10444.712424026653
Færder,14 LNFR,Planlagt og i bruk,Hav,10.554294519161003
Færder,14 LNFR,Planlagt og i bruk,Innmarksbeite,221.52887125099403
Færder,14 LNFR,Planlagt og i bruk,Myr,30.59442355219318
Færder,14 LNFR,Planlagt og i bruk,Overflatedyrka jord,48.10987386987502
Færder,14 LNFR,Planlagt og i bruk,Samferdsel,1053.7741549267569
Færder,14 LNFR,Planlagt og i bruk,Skog,30169.929753504235
Færder,14 LNFR,Planlagt og i bruk,Åpen fastmark,14171.039165024817
Færder,15 LNFR spredt,Planlagt og i bruk,Bebygd,673.8968188270452
Færder,15 LNFR spredt,Planlagt og i bruk,Ferskvann,23.102858172557163
Færder,15 LNFR spredt,Planlagt og i bruk,Fulldyrka jord,1645.3489331465664
Færder,15 LNFR spredt,Planlagt og i bruk,Hav,0.7849496440370094
Færder,15 LNFR spredt,Planlagt og i bruk,Innmarksbeite,45.19198069974323
Færder,15 LNFR spredt,Planlagt og i bruk,Myr,0.9825199808973625
Færder,15 LNFR spredt,Planlagt og i bruk,Overflatedyrka jord,40.36185824476279
Færder,15 LNFR spredt,Planlagt og i bruk,Samferdsel,315.59106365510854
Færder,15 LNFR spredt,Planlagt og i bruk,Skog,7080.888406629031
Færder,15 LNFR spredt,Planlagt og i bruk,Åpen fastmark,1097.0615998265748
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Bebygd,54.83502138338245
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Fulldyrka jord,0.1011137672741008
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Hav,790.5209384424983
