Kommunenummer,Kommune,Nytt kommunenummer,Nummer og navn,Nytt nummer og navn,Nye kommunenavn,Nytt kommunenummer og navn
701,Horten,3801,0701 Horten,K-3801 Horten,Horten,3801 Horten
704,Tønsberg,3803,0704 Tønsberg,K-3803 Tønsberg,Tønsberg,3803 Tønsberg
710,Sandefjord,3804,0710 Sandefjord,K-3804 Sandefjord,Sandefjord,3804 Sandefjord
712,Larvik,3805,0712 Larvik,K-3805 Larvik,Larvik,3805 Larvik
713,Sande,3802,0713 Sande (Vestfold),K-3802 Holmestrand,Holmestrand,3802 Holmestrand
715,Holmestrand,3802,0715 Holmestrand,K-3802 Holmestrand,Holmestrand,3802 Holmestrand
716,Re,3803,0716 Re,K-3803 Tønsberg,Tønsberg,3803 Tønsberg
729,Færder,3811,0729 Færder,K-3811 Færder,Færder,3811 Færder
